client,name,slug,tagline,description,roles,team,year,isPagePublic,websiteUrl,cover,thumbnail,type
Politecnico di Milano,Hierarchical clustering,hierarchical-clustering,,,,,2021,true,,,hierarchical-poster.png,Poster
Politecnico di Milano,Accessibilità è...,accessibilita-e-coinvolgere-tutti,,"The project “Accessibilità è... coinvolgere tutti” tells the potential of an accessible design, thanks to which even those who have sensory disabilities can experience within museum contexts using different senses.","Concept,Compositing","Maria Celeste Casolino,Virginia Leccisotti,Arianna Priori",2021,true,,,accessibilita.png,Motion Graphics
Politecnico di Milano,Feelo,feelo,Fight eating disorders with your caregivers,"Focused on people, not on disease: Feelo is the first multi‑user app which offers tools for a better relationship between who suffers of eating disorders and their caregiver.","Concept,UX,Development","Maria Celeste Casolino,Virginia Leccisotti,Gresi Balliu,Barbara Roncalli ,Carmine Russo,Arianna Priori",2021,true,https://feelo.mbruno.it/,,feelo.png,"App,Website"
Meeting di Rimini,Disruptive,disruptive,An exhibition about Sergio Marchionne,"Disruptive: the challenge of rebuilding is a digital exhibit, conceived for digital media. A design-centered exhibition born out of the passion and hard work of young Italian university students.","UX,Development","Federico Pozzi,Marco Pari,Andrea Silvano,Giovanni Clericetti,Alice Bocchio,Davide Zoppi",2021,true,https://disruptive.meetingrimini.org/,disruptive-cover.png,disruptive.png,"Website,Exhibition"
Politecnico di Milano,Sign here to fight the pandemic,sign-here-to-fight-the-pandemic,Diving into covid online petitions,,"Data collection,Dataviz",,2021,true,,sign-here.jpg,sign-thumbnail.jpg,DataViz
Freelance,Interconnected,interconnectedata,,,Development,,2021,,https://interconnectedata.it/,,,Website
Politecnico di Milano,Moodboard,moodboard,Share your feelings,,"Concept,Development",,2020,true,https://moodboard-ffmv.herokuapp.com/,,moodboard.png,Website
Politecnico di Milano,Questioni fotografiche,questioni-fotografiche,,"
",Development,,2020,,,,,Website
Event Way,Ristorante Salicornia,ristorante-salicornia,,,,,2020,,https://www.ristorantesalicornia.it/,,,"Website,Branding"
Freelance,Samuele Sanguineti,samuele-sanguineti,A fashion designer portfolio website.,,Development,,2020,,https://samuelesanguineti.com/,,,Website
Event Way,Food Factory,food-factory,,,"Branding,Web design,Development",,2019,,,,,"Website,Branding"
O.S.Card,turismo.bologna.it,turismo-bologna-it,,,,,2019,,,,,Website
Campus By Night,"«Se ferita in te si compie, è la sola guarigione»",giovanni-testori,,,,,2018,,,,,Exhibition
